framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1,2880,2880,4,128,2,1,power_law_1.01,0.07247999906539918
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,2,2880,2880,4,128,2,1,power_law_1.01,0.0777728021144867
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,4,2880,2880,4,128,2,1,power_law_1.01,0.10732159614562989
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,8,2880,2880,4,128,2,1,power_law_1.01,0.14139519929885863
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,16,2880,2880,4,128,2,1,power_law_1.01,0.18970240354537965
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1,2880,2880,4,128,2,1,power_law_1.01,0.0722815990447998
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,32,2880,2880,4,128,2,1,power_law_1.01,0.2390592098236084
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,2,2880,2880,4,128,2,1,power_law_1.01,0.0778432011604309
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,48,2880,2880,4,128,2,1,power_law_1.01,0.3187135934829712
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,4,2880,2880,4,128,2,1,power_law_1.01,0.10775680541992187
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,64,2880,2880,4,128,2,1,power_law_1.01,0.33150079250335696
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,8,2880,2880,4,128,2,1,power_law_1.01,0.14187519550323485
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,80,2880,2880,4,128,2,1,power_law_1.01,0.3456063985824585
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,16,2880,2880,4,128,2,1,power_law_1.01,0.20079998970031737
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,96,2880,2880,4,128,2,1,power_law_1.01,0.33933439254760744
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,128,2880,2880,4,128,2,1,power_law_1.01,0.35916800498962403
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,160,2880,2880,4,128,2,1,power_law_1.01,0.3882751941680908
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,192,2880,2880,4,128,2,1,power_law_1.01,0.4217984199523926
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,32,2880,2880,4,128,2,1,power_law_1.01,0.2348543882369995
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,256,2880,2880,4,128,2,1,power_law_1.01,0.4461503982543945
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,48,2880,2880,4,128,2,1,power_law_1.01,0.3260479927062988
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,320,2880,2880,4,128,2,1,power_law_1.01,0.4948927879333496
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,64,2880,2880,4,128,2,1,power_law_1.01,0.33773438930511473
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,384,2880,2880,4,128,2,1,power_law_1.01,0.5318336009979248
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,80,2880,2880,4,128,2,1,power_law_1.01,0.3447423934936523
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,512,2880,2880,4,128,2,1,power_law_1.01,0.5974463939666748
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,96,2880,2880,4,128,2,1,power_law_1.01,0.3522047996520996
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,768,2880,2880,4,128,2,1,power_law_1.01,0.6670464038848877
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,128,2880,2880,4,128,2,1,power_law_1.01,0.3641088008880615
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1024,2880,2880,4,128,2,1,power_law_1.01,0.7240064144134521
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,160,2880,2880,4,128,2,1,power_law_1.01,0.3930367946624756
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1536,2880,2880,4,128,2,1,power_law_1.01,0.898579216003418
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,192,2880,2880,4,128,2,1,power_law_1.01,0.4114880084991455
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,2048,2880,2880,4,128,2,1,power_law_1.01,1.0192511558532715
